,date,votes,pchs
274,2021-04-16 23:45:00,10,3.0545454545454542
275,2021-04-17 00:00:00,10,3.919090909090909
276,2021-04-17 00:15:00,8,2.4636363636363634
277,2021-04-17 00:30:00,10,3.458181818181818
278,2021-04-17 00:45:00,8,2.1072727272727274
279,2021-04-17 01:00:00,10,2.502727272727273
280,2021-04-17 01:15:00,8,1.38
281,2021-04-17 01:30:00,2,0.49727272727272726
282,2021-04-17 01:45:00,0,0.17363636363636362
283,2021-04-17 02:00:00,-2,-0.30818181818181817
284,2021-04-17 02:15:00,-8,-0.6245454545454543
285,2021-04-17 02:30:00,-2,0.1890909090909091
286,2021-04-17 02:45:00,0,0.13818181818181816
287,2021-04-17 03:00:00,-8,-0.4445454545454546
288,2021-04-17 03:15:00,-12,-1.2645454545454546
289,2021-04-17 03:30:00,-10,-0.3572727272727273
290,2021-04-17 03:45:00,-10,-0.4
291,2021-04-17 04:00:00,-4,-0.050909090909090904
292,2021-04-17 04:15:00,-6,-0.09727272727272726
293,2021-04-17 04:30:00,2,0.2863636363636364
294,2021-04-17 04:45:00,0,0.12636363636363634
295,2021-04-17 05:00:00,6,0.4818181818181818
296,2021-04-17 05:15:00,10,0.7681818181818183
297,2021-04-17 05:30:00,6,0.23636363636363636
298,2021-04-17 05:45:00,4,0.024545454545454547
299,2021-04-17 06:00:00,2,-0.1190909090909091
300,2021-04-17 06:15:00,2,-0.04090909090909092
301,2021-04-17 06:30:00,10,0.7927272727272728
302,2021-04-17 06:45:00,10,0.981818181818182
303,2021-04-17 07:00:00,10,1.9881818181818183
304,2021-04-17 07:15:00,8,0.35090909090909084
305,2021-04-17 07:30:00,4,0.052727272727272685
306,2021-04-17 07:45:00,2,-0.1809090909090909
307,2021-04-17 08:00:00,6,0.2372727272727273
308,2021-04-17 08:15:00,-4,-0.459090909090909
309,2021-04-17 08:30:00,-6,-0.39454545454545453
310,2021-04-17 08:45:00,-4,-0.11272727272727273
311,2021-04-17 09:00:00,6,0.4636363636363636
312,2021-04-17 09:15:00,-2,0.08545454545454544
313,2021-04-17 09:30:00,8,0.47
314,2021-04-17 09:45:00,8,0.9136363636363637
315,2021-04-17 10:00:00,8,0.18181818181818177
316,2021-04-17 10:15:00,4,0.02272727272727273
317,2021-04-17 10:30:00,8,0.3181818181818181
318,2021-04-17 10:45:00,10,0.7145454545454545
319,2021-04-17 11:00:00,6,0.028181818181818193
320,2021-04-17 11:15:00,0,-0.05454545454545452
321,2021-04-17 11:30:00,2,-0.014545454545454554
322,2021-04-17 11:45:00,0,-0.03727272727272728
323,2021-04-17 12:00:00,-10,-0.4881818181818183
324,2021-04-17 12:15:00,-12,-0.37636363636363634
325,2021-04-17 12:30:00,-12,-0.4081818181818182
326,2021-04-17 12:45:00,-4,0.21
327,2021-04-17 13:00:00,8,0.32999999999999996
328,2021-04-17 13:15:00,8,0.3781818181818182
329,2021-04-17 13:30:00,8,0.4890909090909091
