date,open,high,low,close,volume
2020-12-01 14:04:00+05:30,1130.8,1131,1130.75,1130.95,7379
2020-12-01 14:05:00+05:30,1130.95,1131.2,1130.95,1131.1,8769
2020-12-01 14:06:00+05:30,1131.1,1131.7,1131.1,1131.7,8073
2020-12-01 14:07:00+05:30,1131.75,1132.15,1131.7,1132.05,25385
2020-12-01 14:08:00+05:30,1132.05,1132.6,1132.05,1132.5,19543
2020-12-01 14:09:00+05:30,1132.5,1132.95,1131.8,1132,16538
2020-12-01 14:10:00+05:30,1132,1132.5,1131.95,1132,8599
2020-12-01 14:11:00+05:30,1132,1132.5,1131.75,1132.5,11113
2020-12-01 14:12:00+05:30,1132.35,1132.95,1132.35,1132.8,11039
2020-12-01 14:13:00+05:30,1132.8,1133,1132,1132.4,10998
2020-12-01 14:14:00+05:30,1132.45,1132.8,1132.4,1132.6,6665
2020-12-01 14:15:00+05:30,1132.6,1132.7,1132.4,1132.4,5811
2020-12-01 14:16:00+05:30,1132.45,1132.6,1132.2,1132.45,10137
2020-12-01 14:17:00+05:30,1132.5,1132.9,1132.45,1132.85,10175
2020-12-01 14:18:00+05:30,1132.8,1133,1132.8,1132.95,13599
2020-12-01 14:19:00+05:30,1133,1133.25,1132.95,1133.1,29991
2020-12-01 14:20:00+05:30,1133.15,1133.15,1132.15,1132.3,11779
2020-12-01 14:21:00+05:30,1132.3,1132.65,1132.3,1132.6,5724
2020-12-01 14:22:00+05:30,1132.55,1132.75,1132.55,1132.7,4232
2020-12-01 14:23:00+05:30,1132.75,1134,1132.7,1133.85,35312
2020-12-01 14:24:00+05:30,1134,1134,1133.25,1133.3,23723
2020-12-01 14:25:00+05:30,1133,1133.45,1133,1133.3,7164
2020-12-01 14:26:00+05:30,1133.3,1133.45,1133.05,1133.25,12688
2020-12-01 14:27:00+05:30,1133.25,1133.45,1133.05,1133.35,6514
2020-12-01 14:28:00+05:30,1133.4,1133.85,1133.35,1133.8,7808
2020-12-01 14:29:00+05:30,1133.8,1134,1133.8,1134,19413
2020-12-01 14:30:00+05:30,1134.1,1134.65,1133.5,1133.9,21174
2020-12-01 14:31:00+05:30,1133.85,1134.05,1133.8,1133.8,5700
2020-12-01 14:32:00+05:30,1133.85,1133.85,1133,1133.25,15488
2020-12-01 14:33:00+05:30,1133.25,1133.25,1132.95,1133.05,10206
2020-12-01 14:34:00+05:30,1132.95,1133.1,1132.85,1132.85,10850
2020-12-01 14:35:00+05:30,1132.85,1133,1132.15,1132.55,11837
2020-12-01 14:36:00+05:30,1132.4,1132.5,1132.2,1132.45,5596
2020-12-01 14:37:00+05:30,1132.5,1132.7,1132.45,1132.55,8745
2020-12-01 14:38:00+05:30,1132.55,1132.55,1132.15,1132.15,8216
2020-12-01 14:39:00+05:30,1132.2,1133,1132.15,1132.95,13735
2020-12-01 14:40:00+05:30,1133,1133,1132.5,1132.95,7554
2020-12-01 14:41:00+05:30,1132.95,1132.95,1132.75,1132.8,8660
2020-12-01 14:42:00+05:30,1132.8,1132.9,1132.7,1132.7,4507
2020-12-01 14:43:00+05:30,1132.7,1132.7,1132.5,1132.5,6917
2020-12-01 14:44:00+05:30,1132.5,1132.8,1132.5,1132.5,10007
2020-12-01 14:45:00+05:30,1132.5,1132.55,1131.6,1131.9,29215
