symbol,table
DCBBANK.NS,inr
GULFOILLUB.NS,inr
TCI.NS,inr
BARBEQUE.NS,inr
RTNPOWER.NS,inr
NFL.NS,inr
INOXWIND.NS,inr
HCG.NS,inr
SHARDACROP.NS,inr
BEPL.NS,inr
OAL.NS,inr
INGERRAND.NS,inr
LAOPALA.NS,inr
SAGCEM.NS,inr
ALEMBICLTD.NS,inr
GREENPANEL.NS,inr
ASHOKA.NS,inr
SOMANYCERA.NS,inr
POLYMED.NS,inr
PTC.NS,inr
MOREPENLAB.NS,inr
RAYMOND.NS,inr
GOODYEAR.NS,inr
INFIBEAM.NS,inr
ESABINDIA.NS,inr
SHOPERSTOP.NS,inr
ACE.NS,inr
RAMCOIND.NS,inr
JPASSOCIAT.NS,inr
UJJIVAN.NS,inr
JTEKTINDIA.NS,inr
SARDAEN.NS,inr
SURYAROSNI.NS,inr
PAISALO.NS,inr
KENNAMET.NS,inr
VRLLOG.NS,inr
IFCI.NS,inr
JAICORPLTD.NS,inr
J&KBANK.NS,inr
TINPLATE.NS,inr
ASTEC.NS,inr
VAIBHAVGBL.NS,inr
ARVIND.NS,inr
VESUVIUS.NS,inr
EVEREADY.NS,inr
RKFORGE.NS,inr
HIMATSEIDE.NS,inr
SHIL.NS,inr
AHLUCONT.NS,inr
MATRIMONY.NS,inr
DISHTV.NS,inr
PURVA.NS,inr
IMFA.NS,inr
NEULANDLAB.NS,inr
DEN.NS,inr
BECTORFOOD.NS,inr
STOVEKRAFT.NS,inr
SHRIPISTON.NS,inr
OLECTRA.NS,inr
APARINDS.NS,inr
INEOSSTYRO.NS,inr
RSYSTEMS.NS,inr
ATFL.NS,inr
BOROLTD.NS,inr
DAAWAT.NS,inr
RAJRATAN.NS,inr
CAMLINFINE.NS,inr
SHK.NS,inr
NOVARTIND.NS,inr
TEJASNET.NS,inr
DHAMPURSUG.NS,inr
GREENPLY.NS,inr
UNICHEMLAB.NS,inr
PHILIPCARB.NS,inr
BALMLAWRIE.NS,inr
JBMA.NS,inr
WABAG.NS,inr
THOMASCOOK.NS,inr
FAIRCHEMOR.NS,inr
NAVNETEDUL.NS,inr
HERITGFOOD.NS,inr
HUHTAMAKI.NS,inr
GRSE.NS,inr
BANARISUG.NS,inr
MAYURUNIQ.NS,inr
GEPIL.NS,inr
BCG.NS,inr
GMDCLTD.NS,inr
PILANIINVS.NS,inr
FILATEX.NS,inr
FINPIPE.NS,inr
SWARAJENG.NS,inr
AUTOAXLES.NS,inr
HSCL.NS,inr
SURYODAY.NS,inr
BOMDYEING.NS,inr
GTPL.NS,inr
COSMOFILMS.NS,inr
NEOGEN.NS,inr
CARERATING.NS,inr
BAJAJHIND.NS,inr
SUBROS.NS,inr
IGPL.NS,inr
REPCOHOME.NS,inr
SSWL.NS,inr
INDIAGLYCO.NS,inr
GLOBUSSPR.NS,inr
JMCPROJECT.NS,inr
MAHSEAMLES.NS,inr
SHALBY.NS,inr
GEOJITFSL.NS,inr
KCP.NS,inr
SOTL.NS,inr
ARVINDFASN.NS,inr
DOLAT.NS,inr
IRCON.NS,inr
CENTRUM.NS,inr
USHAMART.NS,inr
ACCELYA.NS,inr
WHEELS.NS,inr
NBVENTURES.NS,inr
MUKANDLTD.NS,inr
RELINFRA.NS,inr
HESTERBIO.NS,inr
GABRIEL.NS,inr
MSTCLTD.NS,inr
GATI.NS,inr
AMRUTANJAN.NS,inr
DOLLAR.NS,inr
TIRUMALCHM.NS,inr
FORCEMOT.NS,inr
NUCLEUS.NS,inr
SASKEN.NS,inr
PANACEABIO.NS,inr
KIRIINDUS.NS,inr
SOUTHBANK.NS,inr
QUICKHEAL.NS,inr
KSL.NS,inr
SIYSIL.NS,inr
JSWISPL.NS,inr
ANANTRAJ.NS,inr
RPSGVENT.NS,inr
JAGRAN.NS,inr
ORCHPHARMA.NS,inr
KTKBANK.NS,inr
TIMETECHNO.NS,inr
MMFL.NS,inr
BFUTILITIE.NS,inr
PFOCUS.NS,inr
CHEMCON.NS,inr
DFMFOODS.NS,inr
ORISSAMINE.NS,inr
KOLTEPATIL.NS,inr
ADFFOODS.NS,inr
GALLISPAT.NS,inr
SANDHAR.NS,inr
APCOTEXIND.NS,inr
HCC.NS,inr
ASHIANA.NS,inr
VSTTILLERS.NS,inr
TVTODAY.NS,inr
FMGOETZE.NS,inr
TIPSINDLTD.NS,inr
WSTCSTPAPR.NS,inr
CONFIPET.NS,inr
SHAREINDIA.NS,inr
DIAMONDYD.NS,inr
DATAMATICS.NS,inr
PUNJABCHEM.NS,inr
CHENNPETRO.NS,inr
VIDHIING.NS,inr
ACRYSIL.NS,inr
TIIL.NS,inr
JKIL.NS,inr
PSPPROJECT.NS,inr
HINDOILEXP.NS,inr
IGARASHI.NS,inr
ELECTCAST.NS,inr
DIGISPICE.NS,inr
TVSSRICHAK.NS,inr
SAFARI.NS,inr
SANGHIIND.NS,inr
SUNFLAG.NS,inr
JISLJALEQS.NS,inr
NURECA.NS,inr
RAMCOSYS.NS,inr
KIRLOSIND.NS,inr
GENUSPOWER.NS,inr
PANAMAPET.NS,inr
FCONSUMER.NS,inr
INSECTICID.NS,inr
DBCORP.NS,inr
LGBBROSLTD.NS,inr
HSIL.NS,inr
MANINFRA.NS,inr
NACLIND.NS,inr
JAYNECOIND.NS,inr
CIGNITITEC.NS,inr
VINDHYATEL.NS,inr
DPSCLTD.NS,inr
VOLTAMP.NS,inr
JISLDVREQS.NS,inr
OMAXE.NS,inr
WELENT.NS,inr
APOLLOPIPE.NS,inr
CAPACITE.NS,inr
BLS.NS,inr
ELECON.NS,inr
SEAMECLTD.NS,inr
ANDHRSUGAR.NS,inr
3IINFOTECH.NS,inr
MOLDTKPAC.NS,inr
JINDWORLD.NS,inr
SHANKARA.NS,inr
ASTRAMICRO.NS,inr
IFGLEXPOR.NS,inr
SMSPHARMA.NS,inr
ITDCEM.NS,inr
SHANTIGEAR.NS,inr
EXCELINDUS.NS,inr
GIPCL.NS,inr
BODALCHEM.NS,inr
BFINVEST.NS,inr
DWARKESH.NS,inr
PRAKASH.NS,inr
GUFICBIO.NS,inr
ONMOBILE.NS,inr
HBLPOWER.NS,inr
FLFL.NS,inr
GOCLCORP.NS,inr
NAHARSPING.NS,inr
LUMAXIND.NS,inr
CLNINDIA.NS,inr
SHAKTIPUMP.NS,inr
PSB.NS,inr
GNA.NS,inr
MANALIPETC.NS,inr
BUTTERFLY.NS,inr
NITINSPIN.NS,inr
WONDERLA.NS,inr
MAXVIL.NS,inr
INDORAMA.NS,inr
KESORAMIND.NS,inr
NRBBEARING.NS,inr
SHREDIGCEM.NS,inr
VISAKAIND.NS,inr
MTNL.NS,inr
MPSLTD.NS,inr
GOLDIAM.NS,inr
XCHANGING.NS,inr
PFS.NS,inr
KINGFA.NS,inr
SPIC.NS,inr
5PAISA.NS,inr
PNBGILTS.NS,inr
GRAVITA.NS,inr
ASHAPURMIN.NS,inr
OPTIEMUS.NS,inr
SESHAPAPER.NS,inr
FCL.NS,inr
POKARNA.NS,inr
APCL.NS,inr
HONDAPOWER.NS,inr
BANCOINDIA.NS,inr
MANGLMCEM.NS,inr
TARC.NS,inr
HMT.NS,inr
SUNDARMHLD.NS,inr
KARDA.NS,inr
TNPETRO.NS,inr
THANGAMAYL.NS,inr
RAMKY.NS,inr
POWERMECH.NS,inr
AVTNPL.NS,inr
RGL.NS,inr
SADBHAV.NS,inr
BHAGERIA.NS,inr
BESTAGRO.NS,inr
SUULD.NS,inr
APEX.NS,inr
PRICOLLTD.NS,inr
APTECHT.NS,inr
EXPLEOSOL.NS,inr
INFOBEAN.NS,inr
PARAGMILK.NS,inr
SUTLEJTEX.NS,inr
ESTER.NS,inr
NXTDIGITAL.NS,inr
NCLIND.NS,inr
LUMAXTECH.NS,inr
KKCL.NS,inr
PCJEWELLER.NS,inr
GANECOS.NS,inr
AARTISURF.NS,inr
KITEX.NS,inr
OCCL.NS,inr
INDIANHUME.NS,inr
TTKHLTCARE.NS,inr
BLISSGVS.NS,inr
ALICON.NS,inr
AJMERA.NS,inr
EMAMIPAP.NS,inr
DVL.NS,inr
SRIPIPES.NS,inr
TIDEWATER.NS,inr
DREDGECORP.NS,inr
VHL.NS,inr
DCW.NS,inr
DYNAMATECH.NS,inr
GMBREW.NS,inr
EKC.NS,inr
TNPL.NS,inr
RIIL.NS,inr
RANEHOLDIN.NS,inr
FIEMIND.NS,inr
CENTENKA.NS,inr
VSSL.NS,inr
ANUP.NS,inr
SUVEN.NS,inr
SMCGLOBAL.NS,inr
PRECAM.NS,inr
EIHAHOTELS.NS,inr
SATIA.NS,inr
KOPRAN.NS,inr
ANDHRAPAP.NS,inr
FOSECOIND.NS,inr
DECCANCE.NS,inr
NAGAFERT.NS,inr
IMPAL.NS,inr
NSIL.NS,inr
SASTASUNDR.NS,inr
SADBHIN.NS,inr
AVADHSUGAR.NS,inr
ENIL.NS,inr
JETAIRWAYS.NS,inr
AWHCL.NS,inr
SPENCERS.NS,inr
ADORWELD.NS,inr
ANDHRACEMT.NS,inr
TWL.NS,inr
RSWM.NS,inr
TAKE.NS,inr
YAARII.NS,inr
MANGCHEFER.NS,inr
INDNIPPON.NS,inr
GICHSGFIN.NS,inr
SIRCA.NS,inr
UNIENTER.NS,inr
SKIPPER.NS,inr
AMBIKCO.NS,inr
WENDT.NS,inr
KICL.NS,inr
VLSFINANCE.NS,inr
STERTOOLS.NS,inr
SANGHVIMOV.NS,inr
RCOM.NS,inr
JAYAGROGN.NS,inr
RADIOCITY.NS,inr
ASALCBR.NS,inr
UTTAMSUGAR.NS,inr
COFFEEDAY.NS,inr
GOKEX.NS,inr
THEMISMED.NS,inr
NELCO.NS,inr
SNOWMAN.NS,inr
SMLISUZU.NS,inr
RPGLIFE.NS,inr
GFLLIMITED.NS,inr
NELCAST.NS,inr
TAJGVK.NS,inr
GAYAPROJ.NS,inr
SPAL.NS,inr
KANORICHEM.NS,inr
VISHAL.NS,inr
RICOAUTO.NS,inr
TEXRAIL.NS,inr
TEXINFRA.NS,inr
KUANTUM.NS,inr
PGIL.NS,inr
NECLIFE.NS,inr
RBL.NS,inr
MONTECARLO.NS,inr
MIRZAINT.NS,inr
LIKHITHA.NS,inr
SUMMITSEC.NS,inr
BBL.NS,inr
HITECH.NS,inr
MANINDS.NS,inr
GULPOLY.NS,inr
INDRAMEDCO.NS,inr
VISHNU.NS,inr
EVERESTIND.NS,inr
ARSHIYA.NS,inr
KOKUYOCMLN.NS,inr
JAIBALAJI.NS,inr
ZENTEC.NS,inr
VADILALIND.NS,inr
NAVKARCORP.NS,inr
MUTHOOTCAP.NS,inr
CEREBRAINT.NS,inr
UNIDT.NS,inr
BINDALAGRO.NS,inr
PGEL.NS,inr
STCINDIA.NS,inr
ROSSELLIND.NS,inr
HTMEDIA.NS,inr
HEXATRADEX.NS,inr
VIMTALABS.NS,inr
BALAJITELE.NS,inr
PLASTIBLEN.NS,inr
PATELENG.NS,inr
PARSVNATH.NS,inr
LINCOLN.NS,inr
NATHBIOGEN.NS,inr
SAKSOFT.NS,inr
SANDESH.NS,inr
EBIXFOREX.NS,inr
CENTUM.NS,inr
GALLANTT.NS,inr
KABRAEXTRU.NS,inr
ORIENTHOT.NS,inr
INDSWFTLAB.NS,inr
ORIENTPPR.NS,inr
MUNJALAU.NS,inr
FELDVR.NS,inr
GOODLUCK.NS,inr
ALLSEC.NS,inr
CANTABIL.NS,inr
HITECHGEAR.NS,inr
MUNJALSHOW.NS,inr
DYNPRO.NS,inr
KAYA.NS,inr
THEINVEST.NS,inr
HLVLTD.NS,inr
CONTROLPR.NS,inr
HMVL.NS,inr
UNIVCABLES.NS,inr
JASH.NS,inr
GANDHITUBE.NS,inr
PITTIENG.NS,inr
SATIN.NS,inr
DBREALTY.NS,inr
BCLIND.NS,inr
ZOTA.NS,inr
ARMANFIN.NS,inr
TDPOWERSYS.NS,inr
TFCILTD.NS,inr
JUBLINDS.NS,inr
SHALPAINTS.NS,inr
BALAXI.NS,inr
SRHHYPOLTD.NS,inr
STEELXIND.NS,inr
PENIND.NS,inr
ZUARI.NS,inr
VENUSREM.NS,inr
RUSHIL.NS,inr
BLKASHYAP.NS,inr
DLINKINDIA.NS,inr
TBZ.NS,inr
SREINFRA.NS,inr
IFBAGRO.NS,inr
SANGAMIND.NS,inr
ZEEMEDIA.NS,inr
XELPMOC.NS,inr
NBIFIN.NS,inr
RML.NS,inr
VISHWARAJ.NS,inr
NAHARPOLY.NS,inr
ASIANTILES.NS,inr
GOKULAGRO.NS,inr
NRAIL.NS,inr
NAHARINDUS.NS,inr
HPL.NS,inr
VARDHACRLC.NS,inr
KELLTONTEC.NS,inr
GANESHHOUC.NS,inr
SHREEPUSHK.NS,inr
CYBERTECH.NS,inr
KHADIM.NS,inr
NAHARCAP.NS,inr
PRECWIRE.NS,inr
MADRASFERT.NS,inr
PROZONINTU.NS,inr
ORICONENT.NS,inr
WATERBASE.NS,inr
HCL-INSYS.NS,inr
TCPLPACK.NS,inr
FEL.NS,inr
ORIENTBELL.NS,inr
HERCULES.NS,inr
ZEELEARN.NS,inr
ASAHISONG.NS,inr
AURIONPRO.NS,inr
TI.NS,inr
UNITECH.NS,inr
SHREYAS.NS,inr
HINDCOMPOS.NS,inr
SHRIRAMEPC.NS,inr
SCHAND.NS,inr
